стимул,количество связей,взвешенная степень,центральность по степени,степень посредничества,степень близости
южный,4,0.1529258234610774,0.008547008547008548,0.0001281136184776442,0.01187084520417854
пойти,4,0.09735036418562645,0.008547008547008548,0.002946613224985816,0.01839757028436274
отправиться,4,0.1073203192678931,0.008547008547008548,0.002845952524753381,0.01607260261106415
просить,4,0.1062839448477663,0.008547008547008548,0.0001098116729808379,0.01308760683760684
согласиться,4,0.09897446929556561,0.008547008547008548,0.002022364977397097,0.01500109577032654
стихи,4,0.1341175248731982,0.008547008547008548,0.0001372645912260473,0.007597340930674264
попасть,4,0.1160512696098935,0.008547008547008548,0.0001281136184776442,0.01081730769230769
пол,4,0.1571440412788949,0.008547008547008548,3.660389099361262e-05,0.008547008547008548
подойти,4,0.08521496227719084,0.008547008547008548,7.320778198722524e-05,0.01081730769230769
нога,3,0.06513465849355163,0.006410256410256411,4.575486374201577e-05,0.008547008547008546
рука,3,0.06849197055358555,0.006410256410256411,4.575486374201577e-05,0.008547008547008546
ходить,3,0.0702421853984515,0.006410256410256411,0.003129632679953879,0.01887234629170113
взгляд,3,0.0641969332569901,0.006410256410256411,7.320778198722524e-05,0.008547008547008546
собраться,3,0.1243912995071551,0.006410256410256411,0.002855103497501784,0.01730895665806909
видеть,3,0.05241783940243187,0.006410256410256411,0.0,0.00641025641025641
снять,3,0.08929804429262769,0.006410256410256411,1.830194549680631e-05,0.00641025641025641
назвать,3,0.09227321271047487,0.006410256410256411,7.320778198722524e-05,0.009109311740890687
деньги,3,0.06417799597212079,0.006410256410256411,1.830194549680631e-05,0.00641025641025641
искать,3,0.1265067552706225,0.006410256410256411,0.0,0.00641025641025641
умереть,3,0.1151424628622552,0.006410256410256411,1.830194549680631e-05,0.00641025641025641
уходить,3,0.1054210640751489,0.006410256410256411,0.0006405680923882208,0.0126086796345417
возникать,3,0.1164442629375343,0.006410256410256411,0.0001647175094712568,0.0120254422580004
возникнуть,3,0.1366840383622338,0.006410256410256411,0.0,0.0120254422580004
смотреть,3,0.06687579398640615,0.006410256410256411,0.0,0.00641025641025641
компания,3,0.0709550925964205,0.006410256410256411,0.0,0.008725071225071226
поэт,3,0.1272122310185597,0.006410256410256411,0.0,0.005945745076179859
войти,3,0.11851932618495,0.006410256410256411,2.745291824520946e-05,0.006837606837606838
явиться,3,0.07555896577536493,0.006410256410256411,0.0001921704277164662,0.01216691804927099
обратиться,3,0.09644753940978953,0.006410256410256411,0.0,0.01018099547511312
фирма,3,0.06766724557309337,0.006410256410256411,0.0,0.008725071225071226
генерал,3,0.08891201278344917,0.006410256410256411,2.745291824520946e-05,0.006837606837606838
автор,3,0.07335692313338517,0.006410256410256411,5.490583649041893e-05,0.005945745076179859
темный,3,0.06151417594042003,0.006410256410256411,3.660389099361262e-05,0.006837606837606838
установить,3,0.06337609036948293,0.006410256410256411,0.000118962645729241,0.006837606837606838
мысль,3,0.0614216095335968,0.006410256410256411,7.320778198722524e-05,0.006216006216006217
находить,3,0.1164745616873756,0.006410256410256411,0.0,0.00641025641025641
найти,3,0.09327157890542848,0.006410256410256411,0.0,0.00641025641025641
обнаружить,3,0.05943390849138239,0.006410256410256411,9.150972748403155e-06,0.00641025641025641
организация,3,0.05962678980533145,0.006410256410256411,0.0,0.008725071225071226
производство,3,0.09694902567433943,0.006410256410256411,0.0,0.009518259518259518
зайти,3,0.1135113606910304,0.006410256410256411,0.0,0.006837606837606838
рубль,3,0.107429204790303,0.006410256410256411,0.0,0.00641025641025641
входить,3,0.1045408563670261,0.006410256410256411,1.830194549680631e-05,0.006837606837606838
привыкнуть,3,0.07233291548830392,0.006410256410256411,0.0,0.009109311740890687
стараться,3,0.06252580353424436,0.006410256410256411,4.575486374201577e-05,0.00641025641025641
писатель,3,0.1200124667039912,0.006410256410256411,0.0,0.005945745076179859
подумать,3,0.1022839571084165,0.006410256410256411,9.150972748403155e-05,0.007597340930674264
держать,3,0.07952725032981123,0.006410256410256411,0.0002287743187100789,0.01269101269101269
падать,3,0.1466501407991762,0.006410256410256411,2.745291824520946e-05,0.01153846153846154
помнить,3,0.05819255742605303,0.006410256410256411,0.0001464155639744505,0.008547008547008548
театр,3,0.1007086759607374,0.006410256410256411,9.150972748403155e-06,0.01188721878377051
сцена,3,0.06234923436364985,0.006410256410256411,0.0001830194549680631,0.01188721878377051
гулять,3,0.06673058804434426,0.006410256410256411,0.003147934625450685,0.01887234629170113
думать,3,0.102324195333579,0.006410256410256411,0.0,0.007597340930674264
уехать,3,0.115489043650302,0.006410256410256411,0.0,0.0126086796345417
считаться,3,0.05901586105113098,0.006410256410256411,0.002177931514119951,0.01690874956770911
чувствовать,3,0.06782050767109041,0.006410256410256411,2.745291824520946e-05,0.00641025641025641
церковь,3,0.07653277575421091,0.006410256410256411,0.0002196233459616757,0.01077279202279202
